iter	Logloss
0	0.6874953571
1	0.6807881324
2	0.6753096679
3	0.6690196166
4	0.6626106723
5	0.6564099132
6	0.6496686235
7	0.6441066577
8	0.6383631935
9	0.6328843539
10	0.6269722824
11	0.6208108117
12	0.6156155238
13	0.6108152497
14	0.6065077662
15	0.6004776059
16	0.5958377882
17	0.5908536452
18	0.5860919887
19	0.5809416671
20	0.5753819581
21	0.5704494123
22	0.5658373456
23	0.5617033329
24	0.557155592
25	0.5535909884
26	0.5494146179
27	0.5455888654
28	0.5413870629
29	0.5371093651
30	0.532393127
31	0.5282077756
32	0.5247650379
33	0.5209553015
34	0.5173500468
35	0.5136510093
36	0.5093594935
37	0.5063170481
38	0.502735466
39	0.4988459653
40	0.4954542924
41	0.4927631649
42	0.4896277106
43	0.4865204977
44	0.4836187287
45	0.4800179795
46	0.476810464
47	0.4731336741
48	0.4701245986
49	0.4671822167
50	0.4640255088
51	0.4612405987
52	0.4584669683
53	0.4559884844
54	0.4527628811
55	0.4504727751
56	0.4478550696
57	0.4452271698
58	0.4426583781
59	0.4406542521
60	0.4381313997
61	0.435122157
62	0.4334285372
63	0.4314113248
64	0.4294839021
65	0.4273186298
66	0.4245943812
67	0.423800042
68	0.4218123861
69	0.4194517978
70	0.4178412489
71	0.4156984984
72	0.4136726454
73	0.4113755705
74	0.4091549346
75	0.4072284308
76	0.4050203711
77	0.4030450136
78	0.4012795214
79	0.399564859
80	0.3975587727
81	0.3955756141
82	0.3936545923
83	0.3922949689
84	0.3903700962
85	0.3886871868
86	0.3876553234
87	0.3864375079
88	0.3844971333
89	0.3828890004
90	0.3811087156
91	0.3800639945
92	0.3786917313
93	0.3768733545
94	0.3750246202
95	0.3738200188
96	0.372581408
97	0.3708068476
98	0.3696002968
99	0.3680958923
100	0.3665809465
101	0.3656769603
102	0.3644885237
103	0.3631826223
104	0.3615458019
105	0.3603447115
106	0.358954832
107	0.3574085723
108	0.3559624938
109	0.3546310127
110	0.3532677257
111	0.3519699845
112	0.3505383457
113	0.3494708536
114	0.3484019859
115	0.3474497424
116	0.3466137827
117	0.3454382445
118	0.3444884133
119	0.3433645529
120	0.342423869
121	0.3416158006
122	0.340650309
123	0.3396282802
124	0.338443309
125	0.337400002
126	0.3363376525
127	0.3356972459
128	0.334382146
129	0.3334274553
130	0.3326222074
131	0.3316933182
132	0.3307720791
133	0.3302198066
134	0.3291292744
135	0.3283277551
136	0.3272044042
137	0.3263647407
138	0.325234514
139	0.3245002849
140	0.3235590736
141	0.3231816437
142	0.3222750574
143	0.3211942074
144	0.320329991
145	0.3195859151
146	0.3186306835
147	0.317884609
148	0.317166721
149	0.3164917703
150	0.3156674035
151	0.3148168633
152	0.3137148404
153	0.3132454494
154	0.3126568236
155	0.3122266518
156	0.311558682
157	0.3109068012
158	0.3098916306
159	0.3090599063
160	0.3084220265
161	0.3079089836
162	0.3071141514
163	0.3065328883
164	0.3055881497
165	0.30501285
166	0.3042915774
167	0.3035636105
168	0.3028905613
169	0.3022230793
170	0.3017867178
171	0.3013022228
172	0.3004220674
173	0.299601785
174	0.2989641466
175	0.2985262834
176	0.2979912609
177	0.2977593809
178	0.2972004815
179	0.296715747
180	0.2961434711
181	0.295609897
182	0.2946589473
183	0.2941103034
184	0.2934024721
185	0.2927389662
186	0.2921961902
187	0.291647555
188	0.2911435568
189	0.290521752
190	0.2899549567
191	0.2893466733
192	0.2887489083
193	0.2882097662
194	0.2877292459
195	0.2871884776
196	0.2869164703
197	0.2863313707
198	0.2856823998
199	0.2851000043
200	0.2846388306
201	0.284297784
202	0.2837451307
203	0.283330944
204	0.2828496926
205	0.2822271671
206	0.2816323886
207	0.2812834009
208	0.280822892
209	0.280323721
210	0.2799726096
211	0.2794874242
212	0.2789009951
213	0.2782585455
214	0.2779560818
215	0.2775700675
216	0.2770738479
217	0.2765024993
218	0.2759574994
219	0.2755175474
220	0.2751204757
221	0.2745975569
222	0.2740712038
223	0.273774963
224	0.2731500818
225	0.2727399202
226	0.2721435334
227	0.2718301649
228	0.2715985962
229	0.27079679
230	0.2702553022
231	0.2698826913
232	0.2691295682
233	0.268629243
234	0.2681743753
235	0.2674739066
236	0.2669069106
237	0.266485677
238	0.2662332179
239	0.2658706128
240	0.2654998792
241	0.2649964719
242	0.2645793936
243	0.2643990886
244	0.2640625081
245	0.2636173106
246	0.2632014846
247	0.2628185203
248	0.262429789
249	0.2620206935
250	0.2615235215
251	0.2611295586
252	0.2606544034
253	0.2605280696
254	0.2604186872
255	0.2600749148
256	0.2596962263
257	0.2595618938
258	0.2591956463
259	0.2588175817
260	0.2586793025
261	0.2583187428
262	0.2578843224
263	0.2574741532
264	0.257148547
265	0.2570134503
266	0.2564097163
267	0.2561780661
268	0.2556761117
269	0.2553134272
270	0.2550206834
271	0.254789591
272	0.2544446326
273	0.2542505605
274	0.2540457362
275	0.2538623667
276	0.2534441321
277	0.2529589603
278	0.252430004
279	0.2521251512
280	0.2517983408
281	0.251638914
282	0.2512180098
283	0.2510676064
